marca,modelo,cilindrada,transmision,combustible,urbano,ruta,mixto
SUZUKI,JIMNY,1462,MANUAL,NAFTA,7.7,5.7,6.4
TOYOTA,RAV4,2487,CVT,NAFTA - ELECTRICIDAD,4.9,4.8,4.7
MERCEDES-BENZ,MERCEDES-AMG C63,3982,AUTOMATICA,NAFTA,14.0,7.9,10.2
MERCEDES-BENZ,MERCEDES-AMG C63 S,3982,AUTOMATICA,NAFTA,14.2,8.1,10.4
NISSAN,SENTRA,1798,CVT,NAFTA,9.3,5.4,6.9
FORD,TRANSIT,2198,MANUAL,GAS OIL,9.1,7.2,7.9
RENAULT,MEGANE 1.2 16V,1197,AUTOMATICA,NAFTA,7.7,5.0,6.0
MERCEDES-BENZ,C 400 4MATIC,2996,AUTOMATICA,NAFTA,12.1,6.8,8.8
BMW,330i,1998,AUTOMATICA,NAFTA,7.9,5.6,6.4
TOYOTA,RAV4,1987,CVT,NAFTA,7.78,5.79,6.5
MERCEDES-BENZ,B 200,1332,AUTOMATICA,NAFTA,7.4,4.9,5.9
MERCEDES-BENZ,C 200,1991,AUTOMATICA,NAFTA,9.8,5.6,7.2
MERCEDES-BENZ,C 300,1991,AUTOMATICA,NAFTA,10.6,6.3,7.9
RENAULT,KWID 1.0 12V,999,MANUAL,NAFTA,6.52,4.37,5.17
MERCEDES-BENZ,A 250 AUTOMATICA,1991,AUTOMATICA,NAFTA,9.1,5.2,6.6
MERCEDES-BENZ,B 250 AUTOMATICA,1991,AUTOMATICA,NAFTA,9.1,5.5,6.8
FORD,RANGER,2198,MANUAL,GAS OIL,8.2,6.5,7.1
AUDI,RS5 COUPE,2894,AUTOMATICA,NAFTA,11.6,7.2,8.8
AUDI,RS4,2894,AUTOMATICA,NAFTA,11.7,7.3,8.9
AUDI,RS4 AVANT,2894,AUTOMATICA,NAFTA,11.7,7.3,8.9
AUDI,RS5,2894,AUTOMATICA,NAFTA,11.7,7.3,8.9
AUDI,RS5 SPORTBACK,2894,AUTOMATICA,NAFTA,11.7,7.3,8.9
VOLKSWAGEN,T-CROSS,1598,AUTOMATICA,NAFTA,9.4,5.8,7.2
VOLKSWAGEN,T-CROSS,1598,MANUAL,NAFTA,9.1,5.8,7.0
NISSAN,SENTRA,1798,MANUAL,NAFTA,9.9,5.6,7.2
AUDI,Q7,1984,AUTOMATICA,NAFTA,9.3,7.2,8.0
BMW,Z4 sDrive 30i ,1998,AUTOMATICA,NAFTA,7.9,5.7,6.5
AUDI,A1,1498,AUTOMATICA,NAFTA,9.039,6.125,7.085
AUDI,A1,1498,MANUAL,NAFTA,7.973,5.817,6.613
PEUGEOT,2008,1598,AUTOMATICA,NAFTA,9.7,6.55,7.7
TOYOTA,SW4,2755,AUTOMATICA,GAS OIL,10.9,7.5,8.7
AUDI,Q8,2967,AUTOMATICA,GAS OIL,9.3,7.1,7.9
MITSUBISHI,L200 o TRITON,2442,MANUAL,GAS OIL,10.0,7.7,8.5
TOYOTA,HIACE,2755,AUTOMATICA,GAS OIL,10.8,7.8,8.9
MITSUBISHI,L200 o TRITON,2442,AUTOMATICA,GAS OIL,10.0,7.7,8.5
NISSAN,MURANO,3498,CVT,NAFTA,12.8,7.9,9.7
SUZUKI,VITARA,1373,AUTOMATICA,NAFTA,7.91,5.2,6.2
CHERY,TIGGO 4,1971,CVT,NAFTA,11.2,6.4,8.2
VOLKSWAGEN,VOYAGE,1598,AUTOMATICA,NAFTA,9.7,5.5,7.0
VOLKSWAGEN,GOL,1598,AUTOMATICA,NAFTA,9.7,5.5,7.0
TOYOTA,COROLLA,1798,CVT,NAFTA - ELECTRICIDAD,2.1,5.5,4.3
TOYOTA,COROLLA,1987,MANUAL,NAFTA,8.9,5.2,6.6
TOYOTA,COROLLA,1987,CVT,NAFTA,7.5,4.8,5.8
JEEP,RENEGADE: TRAILHAWK 2.0 JTD,1956,AUTOMATICA,GAS OIL,9.99,6.62,7.86
JEEP,RENEGADE: LONGITUDE 2.0 JTD,1956,AUTOMATICA,GAS OIL,9.99,6.62,7.86
JEEP,RENEGADE: NIGHT EAGLE 2.0 JTD,1956,AUTOMATICA,GAS OIL,9.99,6.62,7.86
CHEVROLET,ONIX 1.4,1389,AUTOMATICA,NAFTA,9.78,5.64,7.15
CHEVROLET,ONIX JOY 1.4,1389,AUTOMATICA,NAFTA,9.78,5.64,7.15
CHEVROLET,PRISMA 1.4,1389,AUTOMATICA,NAFTA,9.78,5.64,7.15
CHEVROLET,ONIX PLUS JOY 1.4,1389,AUTOMATICA,NAFTA,9.78,5.64,7.15
CHERY,TIGGO 4,1971,MANUAL,NAFTA,10.6,6.5,8.0
CHEVROLET,CRUZE,1399,MANUAL,NAFTA,8.25,5.33,6.41
CITROEN,C4 LOUNGE,1560,MANUAL,GAS OIL,7.0,5.57,6.1
CHEVROLET,ONIX JOY 1.4,1389,MANUAL,NAFTA,9.7,5.65,7.14
CHEVROLET,ONIX 1.4,1389,MANUAL,NAFTA,9.7,5.65,7.14
CHEVROLET,PRISMA 1.4,1389,MANUAL,NAFTA,9.53,5.48,6.99
CHEVROLET,ONIX PLUS JOY 1.4,1389,MANUAL,NAFTA,9.53,5.48,6.99
HONDA,WR-V,1.496,CVT,NAFTA,8.2,5.7,6.62
MERCEDES-BENZ,E 300,1991,AUTOMATICA,NAFTA,9.7,5.8,7.3
NISSAN,KICKS,1598,CVT,NAFTA,8.1,5.6,6.7
NISSAN,KICKS,1598,MANUAL,NAFTA,8.4,5.3,6.4
CHEVROLET,CRUZE,1399,AUTOMATICA,NAFTA,8.33,5.56,6.56
MERCEDES-BENZ,SPRINTER STREET 311 CDI,2143,MANUAL,GAS OIL,10.7,7.6,8.8
MERCEDES-BENZ,SPRINTER 311 CDI,2143,MANUAL,GAS OIL,10.7,7.6,8.8
